,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,latest Date Used,pop,density,date,never,Rarely,Sometimes,Frequently,Always
326,Nebraska,31,202521,2213,3675,0.47401360544217686,0.9480272108843537,2021-04-02,1952000,25.4087,2021-04-04,0.12380645161290328,0.11770967741935477,0.14575268817204304,0.26131182795698926,0.35145161290322585
327,Nebraska,31,202182,2213,3714,0.46795907377490575,0.7595584275713516,2021-04-01,1952000,25.4087,2021-04-04,0.12380645161290328,0.11770967741935477,0.14575268817204304,0.26131182795698926,0.35145161290322585
328,Nebraska,31,201894,2210,3752,0.4677505330490405,0.6692430703624733,2021-03-31,1952000,25.4087,2021-04-04,0.12380645161290328,0.11770967741935477,0.14575268817204304,0.26131182795698926,0.35145161290322585
329,Nebraska,31,201556,2205,3884,0.43357363542739447,0.6050463439752832,2021-03-30,1952000,25.4087,2021-04-04,0.12380645161290328,0.11770967741935477,0.14575268817204304,0.26131182795698926,0.35145161290322585
330,Nebraska,31,201298,2199,3751,0.46467608637696617,0.6326312983204478,2021-03-29,1952000,25.4087,2021-04-04,0.12380645161290328,0.11770967741935477,0.14575268817204304,0.26131182795698926,0.35145161290322585
331,Nebraska,31,201105,2199,3781,0.47580005289605926,0.5770960063475271,2021-03-28,1952000,25.4087,2021-04-04,0.12380645161290328,0.11770967741935477,0.14575268817204304,0.26131182795698926,0.35145161290322585
332,Nebraska,31,200866,2195,3856,0.4533195020746888,0.5801348547717843,2021-03-27,1952000,25.4087,2021-04-04,0.12380645161290328,0.11770967741935477,0.14575268817204304,0.26131182795698926,0.35145161290322585
333,Nebraska,31,200663,2183,3754,0.4738945125199787,0.5372935535428875,2021-03-26,1952000,25.4087,2021-04-04,0.12380645161290328,0.11770967741935477,0.14575268817204304,0.26131182795698926,0.35145161290322585
334,Nebraska,31,200260,2179,3884,0.451081359423275,0.5257466529351185,2021-03-25,1952000,25.4087,2021-04-04,0.12380645161290328,0.11770967741935477,0.14575268817204304,0.26131182795698926,0.35145161290322585
335,Nebraska,31,199837,2172,3969,0.4635928445452255,0.5008818342151675,2021-03-24,1952000,25.4087,2021-04-04,0.12380645161290328,0.11770967741935477,0.14575268817204304,0.26131182795698926,0.35145161290322585
336,Nevada,32,296040,5036,4932,0.40125709651257097,0.45417680454176806,2021-04-04,3185790,29.0195,2021-04-04,0.029294117647058828,0.04182352941176471,0.10676470588235296,0.19358823529411762,0.6286470588235294
337,Nevada,32,295571,5024,5138,0.3787465940054496,0.44297391981315687,2021-04-03,3185790,29.0195,2021-04-04,0.029294117647058828,0.04182352941176471,0.10676470588235296,0.19358823529411762,0.6286470588235294
338,Nevada,32,295179,5005,5263,0.33574007220216606,0.43112293368801063,2021-04-02,3185790,29.0195,2021-04-04,0.029294117647058828,0.04182352941176471,0.10676470588235296,0.19358823529411762,0.6286470588235294
339,Nevada,32,294755,4988,5435,0.2892364305427783,0.43735050597976083,2021-04-01,3185790,29.0195,2021-04-04,0.029294117647058828,0.04182352941176471,0.10676470588235296,0.19358823529411762,0.6286470588235294
340,Nevada,32,294336,4972,5551,0.2940010808863268,0.4128985768330031,2021-03-31,3185790,29.0195,2021-04-04,0.029294117647058828,0.04182352941176471,0.10676470588235296,0.19358823529411762,0.6286470588235294
341,Nevada,32,294060,4957,5470,0.3369287020109689,0.39488117001828155,2021-03-30,3185790,29.0195,2021-04-04,0.029294117647058828,0.04182352941176471,0.10676470588235296,0.19358823529411762,0.6286470588235294
342,Nevada,32,293815,4957,5511,0.3395028125567048,0.3825077118490292,2021-03-29,3185790,29.0195,2021-04-04,0.029294117647058828,0.04182352941176471,0.10676470588235296,0.19358823529411762,0.6286470588235294
343,Nevada,32,293534,4957,5616,0.3244301994301994,0.37767094017094016,2021-03-28,3185790,29.0195,2021-04-04,0.029294117647058828,0.04182352941176471,0.10676470588235296,0.19358823529411762,0.6286470588235294
344,Nevada,32,293165,4942,5554,0.3583003240907454,0.40367302844796543,2021-03-27,3185790,29.0195,2021-04-04,0.029294117647058828,0.04182352941176471,0.10676470588235296,0.19358823529411762,0.6286470588235294
345,Nevada,32,292702,4934,5122,0.5111284654431862,0.43205778992581023,2021-03-26,3185790,29.0195,2021-04-04,0.029294117647058828,0.04182352941176471,0.10676470588235296,0.19358823529411762,0.6286470588235294
346,Nevada,32,292113,4922,5103,0.5827944346462866,0.3956496178718401,2021-03-25,3185790,29.0195,2021-04-04,0.029294117647058828,0.04182352941176471,0.10676470588235296,0.19358823529411762,0.6286470588235294
347,Nevada,32,291708,4903,5177,0.5798725130384392,0.36217886807031097,2021-03-24,3185790,29.0195,2021-04-04,0.029294117647058828,0.04182352941176471,0.10676470588235296,0.19358823529411762,0.6286470588235294
348,New Hampshire,33,76695,1181,3621,0.6708091687379177,0.8563932615299641,2021-04-04,1372200,153.2671,2021-04-04,0.055099999999999996,0.057600000000000005,0.0735,0.1876,0.6263
349,New Hampshire,33,76422,1178,3574,0.6653609401231113,0.8601007274762171,2021-04-03,1372200,153.2671,2021-04-04,0.055099999999999996,0.057600000000000005,0.0735,0.1876,0.6263
350,New Hampshire,33,76178,1178,3524,0.66316685584563,0.8430760499432464,2021-04-02,1372200,153.2671,2021-04-04,0.055099999999999996,0.057600000000000005,0.0735,0.1876,0.6263
351,New Hampshire,33,75990,1175,3377,0.6378442404501037,0.8936926265916494,2021-04-01,1372200,153.2671,2021-04-04,0.055099999999999996,0.057600000000000005,0.0735,0.1876,0.6263
352,New Hampshire,33,75803,1170,3267,0.6311600857055403,0.9317416590143863,2021-03-31,1372200,153.2671,2021-04-04,0.055099999999999996,0.057600000000000005,0.0735,0.1876,0.6263
