,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,latest Date Used,Average Case number per day,pop,density
37,Oklahoma,40,439149,4953,5955,0.416456759,0.365743073,4/3/2021,185.1428571,3990440,58.1739
38,Oregon,41,166480,2406,4179,0.573103613,0.656377124,4/3/2021,317.7142857,4289440,44.6873
39,Pennsylvania,42,1043693,25243,37633,0.659022666,0.785374538,4/3/2021,3301.285714,12804100,286.1699
40,Rhode Island,44,138255,2630,4918,0.556323709,0.504270028,4/3/2021,262.2857143,3194370,923.4952
41,South Carolina,45,555274,9196,15933,0.484780016,0.449381786,4/3/2021,743.7142857,1061510,1026.6054
42,South Dakota,46,118361,1938,2345,0.579104478,0.545842217,4/3/2021,146.4285714,5277830,175.5707
43,Tennessee,47,799450,11809,16081,0.531248057,0.415832349,4/3/2021,623.1428571,896581,11.8265
44,Texas,48,2801550,48831,59586,0.442771792,0.37878025,4/3/2021,2153.285714,6944260,168.4069
45,Utah,49,387057,2132,6817,0.428340912,0.414551856,4/3/2021,320.2857143,29730300,113.808
46,Vermont,50,19905,229,1591,0.671275927,0.805782527,4/3/2021,129,3310770,40.2917
47,Virginia,51,623881,10287,19211,0.532299204,0.515694134,4/3/2021,1053.142857,623251,67.6197
48,Washington,53,370362,5326,10075,0.616575682,0.67235732,4/3/2021,761.8571429,8603980,217.8774
49,West Virginia,54,143106,2693,4188,0.67765043,0.666189112,4/3/2021,302.1428571,7796940,117.3248
50,Wisconsin,55,638777,7342,7890,0.593029151,0.624968314,4/3/2021,587.8571429,1767860,73.5444
51,Wyoming,56,56447,700,817,0.569155447,0.490820073,4/3/2021,36.71428571,5852490,108.0633
52,Puerto Rico,72,143022,2126,2894,0.577747063,1.214236351,4/3/2021,353.1428571,581075,5.9847
1,Alabama,1,516266,10607,11692,0.256671228,0.22972973,4/2/2021,235.2857143,4934190,97.427
2,Alaska,2,62987,299,1813,0.585217871,0.685603971,4/2/2021,177.5714286,724357,1.2694
3,Arizona,4,843132,16989,11672,0.30003427,0.391877999,4/2/2021,375.8571429,7520100,66.2016
4,Arkansas,5,330753,5639,3947,0.360273626,0.268051685,4/2/2021,106.4285714,3033950,58.3059
5,California,6,3675326,59574,45817,0.396752297,0.406683109,4/2/2021,1613.428571,39613500,254.2929
6,Colorado,8,468002,6184,13501,0.574550033,0.732982742,4/2/2021,861.8571429,5893630,56.8653
7,Connecticut,9,313956,7904,11361,0.749845964,0.7698266,4/2/2021,788.1428571,3552820,733.7505
8,Delaware,10,95590,1565,3761,0.449348578,0.602233449,4/2/2021,169.7142857,990334,508.1242
9,District of Columbia,11,44807,1069,1912,0.413702929,0.513598326,4/2/2021,79.85714286,714153,11707.4262
10,Florida,12,2071007,33585,63050,0.538017446,0.600095163,4/2/2021,3376.571429,21944600,409.2233
11,Georgia,13,1038351,18592,22698,0.499295092,0.436338003,4/2/2021,900.8571429,10830000,188.3053
12,Hawaii,15,30140,460,985,0.653807107,0.830456853,4/2/2021,73.42857143,1406430,218.9678
13,Idaho,16,181298,1969,4363,0.463213385,0.454962182,4/2/2021,200.1428571,1860120,22.5079
14,Illinois,17,1254866,23626,23801,0.608587874,0.770471829,4/2/2021,1670.714286,12569300,226.3964
15,Indiana,18,692207,13069,11009,0.531655918,0.619947316,4/2/2021,598.5714286,6805660,189.9643
16,Iowa,19,352714,5754,6183,0.606663432,0.591783924,4/2/2021,356.4285714,3167970,56.7157
17,Kansas,20,305137,4932,3326,0.447083584,0.429043897,4/2/2021,142,2917220,35.6807
