,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,latest Date Used,pop,density
24,Minnesota,27,498286,6815,11061,0.4749118524545701,0.6993038604104511,2021-03-15,5706400,71.6641
25,Mississippi,28,300881,6903,7014,0.3788138009694896,0.46050755631593954,2021-03-15,2966410,63.2187
26,Missouri,29,574951,8771,8566,6.202661685734299,0.492878823254728,2021-03-15,6169040,89.7419
27,Montana,30,102055,1394,2540,0.3850393700787402,0.378740157480315,2021-03-15,1085000,7.4547
28,Nebraska,31,205440,2236,3795,0.5243741765480896,0.49907773386034254,2021-03-15,1952000,25.4087
29,Nevada,32,299530,5121,5283,0.45618020064357373,0.5792163543441227,2021-03-15,3185790,29.0195
30,New Hampshire,33,78813,1199,4571,0.32203019033034347,0.3835047035659593,2021-03-15,1372200,153.2671
31,New Jersey,34,840846,23925,45064,0.49751464583703175,0.5754038700514823,2021-03-15,8874520,1206.7609
32,New Mexico,35,188488,3855,4536,0.38425925925925924,0.31922398589065254,2021-03-15,2105000,17.354
33,New York,36,1748739,48537,103895,0.4792145916550363,0.46576832378844024,2021-03-15,19300000,409.5404
34,North Carolina,37,890709,11739,37217,0.35712174543891234,0.3071177150227047,2021-03-15,10701000,220.1037
35,North Dakota,38,101032,1488,1209,0.46898263027295284,0.48221670802315963,2021-03-15,770026,11.1596
36,Ohio,39,990340,17871,27609,0.39306023398167267,0.38443985656851026,2021-03-15,11714600,286.6939
37,Oklahoma,40,432793,4701,10616,0.4025998492840995,0.3420308967596081,2021-03-15,3990440,58.1739
38,Oregon,41,159872,2333,5409,0.32131632464411164,0.41800702532815676,2021-03-15,4289440,44.6873
39,Pennsylvania,42,972772,24630,37063,0.4594609178965545,0.4704152389175188,2021-03-15,12804100,286.1699
40,Rhode Island,44,131487,2576,4801,0.4984378254530306,0.5219745886273693,2021-03-15,3194370,923.4952
41,South Carolina,45,534188,8878,28958,0.30181642378617307,0.2580288693970578,2021-03-15,1061510,1026.6054
42,South Dakota,46,114649,1912,2094,0.5377268385864374,0.502865329512894,2021-03-15,5277830,175.5707
43,Tennessee,47,778768,11535,16741,0.49644585150229975,0.5116779164924437,2021-03-15,896581,11.8265
44,Texas,48,2732352,46694,89636,0.42882324066223393,0.36245481726092194,2021-03-15,6944260,168.4069
45,Utah,49,378658,2027,9733,0.371622315832734,0.35888215349840746,2021-03-15,29730300,113.808
46,Vermont,50,16992,214,1422,0.6434599156118144,0.5576652601969058,2021-03-15,3310770,40.2917
47,Virginia,51,595865,10060,25636,0.3673740053050398,0.3617178967077547,2021-03-15,623251,67.6197
48,Washington,53,353344,5192,12418,0.3834755999355774,0.3912868416814302,2021-03-15,8603980,217.8774
